"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WSFG"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-24",," 1206","3.6",,"17.8","10.6","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-25",," 1512","0.0",,"22.8","12.8","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-26",," 1618","0.0",,"22.8","11.1","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-27",," 1724","0.0",,"21.7","11.1","16.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-28",," 1412","0.0",,"18.3","10.6","16.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-29",," 0830","0.0",,"15.6","11.1","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-30",," 1436","0.0",,"25.0","9.4","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-31",," 1648","0.0",,"27.2","10.6","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-01",," 1524","0.0",,"30.6","12.8","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-02",," 1736","0.0",,"38.9","14.4","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-03",," 1612","0.0",,"30.6","13.9","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-04",," 1548","0.0",,"28.3","13.9","7.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-05",," 1518","0.0",,"25.6","14.4","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-06",," 1524","0.0",,"21.7","14.4","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-07",," 1230","0.0",,"21.7","12.2","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-08",," 1506","0.0",,"21.7","11.7","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-09",," 1524","0.0",,"22.2","10.0","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-10",," 1554","0.0",,"20.6","11.7","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-11",," 1412","0.0",,"23.3","11.1","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-12",," 1406","0.0",,"21.1","11.1","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-13",," 1742","0.0",,"26.1","10.0","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-14",," 1718","0.0",,"26.7","11.7","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-15",," 1406","0.0",,"26.7","13.3","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-16",," 1430","0.0",,"26.1","13.3","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-17",," 1300","0.0",,"22.2","12.2","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-18",," 1618","0.0",,"20.6","11.1","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-19",," 1600","0.0",,"21.1","11.1","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-20",," 1506","0.0",,"28.9","11.7","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-21",," 1854","0.0",,"30.0","12.2","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-22",," 1600","0.0",,"23.9","11.7","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-23",," 1718","0.0",,"22.8","11.7","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-24",," 1512","0.0",,"23.3","11.7","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-25",," 1512","0.0",,"21.1","11.1","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-26",," 1624","0.0",,"20.0","10.0","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-27",," 1618","0.0",,"18.9","10.6","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-28",," 1454","0.0",,"16.1","11.1","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-29",," 1654","0.0",,"18.3","11.1","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-30",," 1448","0.0",,"16.7","11.7","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-01",," 1512","0.0",,"19.4","11.7","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-02",," 1648","0.0",,"22.2","10.0","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-03",," 1648","0.0",,"23.3","12.2","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-04",," 1654","0.0",,"23.3","10.6","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-05",," 1730","0.0",,"23.3","12.2","7.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-06",," 1442","0.0",,"22.2","12.8","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-07",," 1724","0.0",,"20.0","12.8","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-08",," 1654","0.0",,"23.9","12.8","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-09",," 1430","0.0",,"18.9","11.7","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-10",," 1706","0.0",,"19.4","11.7","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-11",," 1454","0.0",,"18.9","10.6","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-12",," 1418","0.0",,"20.0","12.8","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-13",," 1630","0.0",,"22.8","12.8","17.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-14",," 1500","0.0",,"20.6","12.2","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-15",," 1718","0.0",,"24.4","11.7","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-16",," 1600","0.0",,"23.3","10.6","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-17",," 1454","0.0",,"21.7","10.6","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-18",," 1748","0.0",,"23.9","10.0","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-19",," 1754","0.0",,"25.6","10.0","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-20",," 1612","0.0",,"30.0","11.1","12.9"
